SCENARIO:
 {
    "control": {
        "seed": 42
    }, 
    "file_name": "svm_wine_split_0", 
    "policy": {
        "step_pipeline": 0
    }, 
    "setup": {
        "algorithm": "SVM", 
        "dataset": "wine", 
        "policy": "split", 
        "runtime": 300
    }, 
    "title": "S VM on Wine with Split policy"
}
## Algorithm
Best score: 0.439456484348 (0.0497320570277) [A] | Score: 0.439456484348 (0.0497320570277) [A]
Best score: 0.977777777778 (0.0272165526976) [A] | Score: 0.399253955968 (0.0168715835498) [A]
Best score: 0.977777777778 (0.0272165526976) [A] | Score: 0.399253955968 (0.0168715835498) [A]
Best score: 0.977777777778 (0.0272165526976) [A] | Score: 0.7549750602 (0.0937293281793) [A]
Best score: 0.977777777778 (0.0272165526976) [A] | Score: 0.955847953216 (0.04837303747) [A]
Best score: 0.977777777778 (0.0272165526976) [A] | Score: 0.399253955968 (0.0168715835498) [A]
Best score: 0.977777777778 (0.0272165526976) [A] | Score: 0.956140350877 (0.0476527457017) [A]
Best score: 0.977777777778 (0.0272165526976) [A] | Score: 0.972514619883 (0.0274978197556) [A]
Best score: 0.977777777778 (0.0272165526976) [A] | Score: 0.269289645683 (0.0143865333972) [A]
Best score: 0.977777777778 (0.0272165526976) [A] | Score: 0.399253955968 (0.0168715835498) [A]
Best score: 0.977777777778 (0.0272165526976) [A] | Score: 0.955847953216 (0.04837303747) [A]
Best score: 0.977777777778 (0.0272165526976) [A] | Score: 0.955847953216 (0.04837303747) [A]
Best score: 0.977777777778 (0.0272165526976) [A] | Score: 0.399253955968 (0.0168715835498) [A]
Best score: 0.977777777778 (0.0272165526976) [A] | Score: 0.399253955968 (0.0168715835498) [A]
Best score: 0.977777777778 (0.0272165526976) [A] | Score: 0.399253955968 (0.0168715835498) [A]
Best score: 0.977777777778 (0.0272165526976) [A] | Score: 0.955847953216 (0.04837303747) [A]
Best score: 0.977777777778 (0.0272165526976) [A] | Score: 0.888377192982 (0.0697676764988) [A]
Best score: 0.977777777778 (0.0272165526976) [A] | Score: 0.805301857585 (0.0909507606897) [A]
Best score: 0.977777777778 (0.0272165526976) [A] | Score: 0.269289645683 (0.0143865333972) [A]
Best score: 0.977777777778 (0.0272165526976) [A] | Score: 0.399253955968 (0.0168715835498) [A]
Best score: 0.977777777778 (0.0272165526976) [A] | Score: 0.399253955968 (0.0168715835498) [A]
Best score: 0.977777777778 (0.0272165526976) [A] | Score: 0.269289645683 (0.0143865333972) [A]
Best score: 0.977777777778 (0.0272165526976) [A] | Score: 0.399253955968 (0.0168715835498) [A]
Best score: 0.977777777778 (0.0272165526976) [A] | Score: 0.399253955968 (0.0168715835498) [A]
Best score: 0.977777777778 (0.0272165526976) [A] | Score: 0.926973684211 (0.0508390010077) [A]
Best score: 0.977777777778 (0.0272165526976) [A] | Score: 0.399253955968 (0.0168715835498) [A]
Best score: 0.977777777778 (0.0272165526976) [A] | Score: 0.269289645683 (0.0143865333972) [A]
Best score: 0.977777777778 (0.0272165526976) [A] | Score: 0.704538613691 (0.0835455703668) [A]
Best score: 0.977777777778 (0.0272165526976) [A] | Score: 0.961403508772 (0.0432867061373) [A]
#################### STEP RESULT ####################
BEST PIPELINE:
 {}
BEST ALGO CONFIG:
 {
    "C": 0.01, 
    "degree": 3, 
    "gamma": "scale", 
    "kernel": "poly", 
    "shrinking": true
}
BEST SCORE: 0.977777777778 (0.0272165526976)
##################################################
